filename,page,char_count,table_count,is_scanned_guess
fta_performance_survey_final_report_2022.pdf,115,593,1,False
fta_performance_survey_final_report_2022.pdf,116,1345,20,False
fta_performance_survey_final_report_2022.pdf,117,1859,1,False
fta_performance_survey_final_report_2022.pdf,118,2183,1,False
fta_performance_survey_final_report_2022.pdf,119,2496,1,False
fta_performance_survey_final_report_2022.pdf,120,1776,1,False
fta_performance_survey_final_report_2022.pdf,121,537,1,False
fta_performance_survey_final_report_2022.pdf,122,1318,2,False
fta_performance_survey_final_report_2022.pdf,123,1627,1,False
fta_performance_survey_final_report_2022.pdf,124,1965,1,False
fta_performance_survey_final_report_2022.pdf,125,2271,1,False
fta_performance_survey_final_report_2022.pdf,126,1971,1,False
fta_performance_survey_final_report_2022.pdf,127,1848,1,False
fta_performance_survey_final_report_2022.pdf,128,1774,1,False
fta_performance_survey_final_report_2022.pdf,129,1777,1,False
fta_performance_survey_final_report_2022.pdf,130,1954,1,False
fta_performance_survey_final_report_2022.pdf,131,1490,1,False
fta_performance_survey_final_report_2022.pdf,132,1402,1,False
fta_performance_survey_final_report_2022.pdf,133,1266,3,False
fta_performance_survey_final_report_2022.pdf,134,1387,1,False
fta_performance_survey_final_report_2022.pdf,135,1763,1,False
fta_performance_survey_final_report_2022.pdf,136,1743,1,False
fta_performance_survey_final_report_2022.pdf,137,1553,1,False
fta_performance_survey_final_report_2022.pdf,138,545,1,False
fta_performance_survey_final_report_2022.pdf,139,1242,1,False
fta_performance_survey_final_report_2022.pdf,140,1768,1,False
fta_performance_survey_final_report_2022.pdf,141,1775,1,False
fta_performance_survey_final_report_2022.pdf,142,1649,1,False
fta_performance_survey_final_report_2022.pdf,143,1675,1,False
fta_performance_survey_final_report_2022.pdf,144,1792,1,False
fta_performance_survey_final_report_2022.pdf,145,1691,1,False
fta_performance_survey_final_report_2022.pdf,146,1739,1,False
fta_performance_survey_final_report_2022.pdf,147,1893,1,False
fta_performance_survey_final_report_2022.pdf,148,1705,1,False
fta_performance_survey_final_report_2022.pdf,149,1672,1,False
fta_performance_survey_final_report_2022.pdf,150,1810,1,False
fta_performance_survey_final_report_2022.pdf,151,1535,1,False
